Index;timestamp;group;disengaged;looking;talking;intTech;intRes;intExt;Accessed;Create;Open;Update
30;18/10/2017 13:22;1HI;0;1;1;0.5;1;1;0;0;2;14
31;18/10/2017 13:34;1HI;0;1;1;0.5;1;1;0;0;0;0
32;18/10/2017 10:12;2ABC;0;0;0;0.667;0;0.667;2;0;0;0
33;18/10/2017 10:18;2ABC;0;1;0.5;1;0.5;0.5;5;8;4;0
34;18/10/2017 10:24;2ABC;0;0.667;0.333;1;1;0.333;7;0;13;17
35;18/10/2017 10:29;2ABC;0;0.333;0.333;0.333;0;0;0;0;39;50
36;18/10/2017 10:33;2ABC;0;0;0.667;0.333;0;0.667;7;2;1;1
37;18/10/2017 10:39;2ABC;0;0.333;0;0.333;0.333;0.333;7;0;4;9
38;18/10/2017 10:42;2ABC;0;0.333;0;0.333;0;0;0;0;0;12
39;18/10/2017 10:50;2ABC;0;0;0.667;0;0.667;0;4;8;4;1
40;18/10/2017 10:53;2ABC;0;0;0.667;0.667;0.333;0;0;2;0;0
41;18/10/2017 10:57;2ABC;0;0;0;0;0.667;0;9;2;0;0
42;18/10/2017 11:13;2ABC;0;0.5;0.5;0.5;0;0;0;0;0;0
43;18/10/2017 11:36;2ABC;0;1;1;1;1;0.5;0;0;0;0
44;18/10/2017 10:46;2ABC;0.5;0;0;0.5;0;0.5;4;1;0;5
45;18/10/2017 11:13;2DE;0;0.5;0.5;0.5;0;0;7;6;4;0
46;18/10/2017 11:19;2DE;0;0;0.5;0.5;1;1;0;0;7;16
47;18/10/2017 11:25;2DE;0;0;1;1;1;0;7;0;4;0
48;18/10/2017 11:36;2DE;0;1;1;1;1;0.5;11;12;7;5
49;18/10/2017 11:43;2DE;0;1;1;0;1;1;0;0;0;2
50;18/10/2017 11:49;2DE;0;1;1;0;1;0;0;0;0;5
51;18/10/2017 12:09;2FGH;0;0.667;1;0.333;1;0.333;1;1;0;0
52;18/10/2017 12:12;2FGH;0;1;1;0.667;1;0.333;0;0;0;0
53;18/10/2017 12:16;2FGH;0;0.333;1;0.667;0.667;0.333;0;2;0;0
54;18/10/2017 12:22;2FGH;0;0.667;1;0.667;0.333;0.333;0;0;0;0
55;18/10/2017 12:32;2FGH;0;0.667;0.667;0.333;0.333;0.667;6;0;2;1
56;18/10/2017 12:39;2FGH;0;1;1;0.333;1;0.333;0;0;0;0
57;18/10/2017 12:47;2FGH;0;0.333;0.667;0.333;0.667;0.667;23;0;8;1
58;18/10/2017 13:02;2FGH;0;1;1;1;1;1;0;0;0;0
59;18/10/2017 13:09;2IJ;0;1;1;1;1;0.5;0;0;0;7
60;18/10/2017 13:15;2IJ;0;1;1;0;1;1;0;2;0;0
61;18/10/2017 13:22;2IJ;0;0;1;1;1;0.5;7;5;0;1
62;18/10/2017 13:34;2IJ;0;0;1;1;1;0.5;4;0;0;2
63;18/10/2017 13:02;2IJ;0;1;1;1;1;1;0;2;6;11
64;18/10/2017 11:19;3AB;0;0.5;0.5;0;1;1;19;13;22;16
65;18/10/2017 11:25;3AB;0;1;1;0;1;0;0;0;0;3
66;18/10/2017 11:43;3AB;0;1;1;0;1;0;0;0;0;0
67;18/10/2017 11:49;3AB;0;0;1;0.5;1;0;6;7;2;1
68;18/10/2017 12:55;3CD;1;0;1;1;0;0.5;12;4;1;0
69;18/10/2017 13:00;3CD;0.5;0.5;1;1;0;1;10;1;15;17
70;18/10/2017 13:05;3CD;0;1;1;1;1;1;2;0;13;9
71;18/10/2017 13:10;3CD;0.5;1;1;1;0;0.5;7;1;6;6
72;18/10/2017 13:15;3CD;1;0.5;1;1;0.5;1;6;7;26;21
73;18/10/2017 13:19;3CD;0.5;0.5;1;0.5;1;1;0;0;11;13
74;18/10/2017 13:23;3CD;0.5;1;1;1;0.5;1;1;2;0;6
75;18/10/2017 13:30;3CD;1;1;1;1;1;0;3;0;0;0
76;18/10/2017 13:34;3CD;0.5;1;1;0.5;1;0;5;2;0;0
