,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,accessed_cat,create_cat,open_cat,update_cat
58,2017-10-18 13:02:30,2FGH,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
59,2017-10-18 13:09:02,2IJ,0.0,1.0,1.0,1.0,1.0,0.5,low,low,low,low
60,2017-10-18 13:15:18,2IJ,0.0,1.0,1.0,0.0,1.0,1.0,low,low,low,low
61,2017-10-18 13:22:29,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,low,low,low,low
62,2017-10-18 13:34:40,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,low,low,low,low
63,2017-10-18 13:02:30,2IJ,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
64,2017-10-18 11:19:28,3AB,0.0,0.5,0.5,0.0,1.0,1.0,high,high,low,low
65,2017-10-18 11:25:16,3AB,0.0,1.0,1.0,0.0,1.0,0.0,low,low,low,low
66,2017-10-18 11:43:11,3AB,0.0,1.0,1.0,0.0,1.0,0.0,low,low,low,low
67,2017-10-18 11:49:21,3AB,0.0,0.0,1.0,0.5,1.0,0.0,low,high,low,low
68,2017-10-18 12:55:35,3CD,1.0,0.0,1.0,1.0,0.0,0.5,high,low,low,low
69,2017-10-18 13:00:06,3CD,0.5,0.5,1.0,1.0,0.0,1.0,low,low,low,low
70,2017-10-18 13:05:02,3CD,0.0,1.0,1.0,1.0,1.0,1.0,low,low,low,low
71,2017-10-18 13:10:15,3CD,0.5,1.0,1.0,1.0,0.0,0.5,low,low,low,low
72,2017-10-18 13:15:04,3CD,1.0,0.5,1.0,1.0,0.5,1.0,low,high,high,low
73,2017-10-18 13:19:13,3CD,0.5,0.5,1.0,0.5,1.0,1.0,low,low,low,low
74,2017-10-18 13:23:34,3CD,0.5,1.0,1.0,1.0,0.5,1.0,low,low,low,low
75,2017-10-18 13:30:29,3CD,1.0,1.0,1.0,1.0,1.0,0.0,low,low,low,low
76,2017-10-18 13:34:46,3CD,0.5,1.0,1.0,0.5,1.0,0.0,low,low,low,low
