,Unnamed: 0,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,Accessed,Create,Open,Update
25,26,2017-10-18 12:39:45,1GF,0.0,1.0,1.0,1.0,1.0,0.0,0.043478260869565216,0.07692307692307693,0.0,0.28
26,27,2017-10-18 12:47:50,1GF,0.0,0.0,1.0,1.0,0.0,1.0,0.2608695652173913,0.3076923076923077,0.0,0.0
27,28,2017-10-18 13:02:30,1HI,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.15384615384615385,0.0,0.0
28,29,2017-10-18 13:09:02,1HI,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
29,30,2017-10-18 13:15:18,1HI,0.0,1.0,1.0,1.0,1.0,0.5,0.5652173913043478,0.0,0.36170212765957444,0.26
30,31,2017-10-18 13:22:29,1HI,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0425531914893617,0.28
31,32,2017-10-18 13:34:40,1HI,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0
32,33,2017-10-18 10:12:49,2ABC,0.0,0.0,0.0,0.667,0.0,0.667,0.08695652173913043,0.0,0.0,0.0
33,34,2017-10-18 10:18:14,2ABC,0.0,1.0,0.5,1.0,0.5,0.5,0.21739130434782608,0.6153846153846154,0.0851063829787234,0.0
34,35,2017-10-18 10:24:46,2ABC,0.0,0.667,0.33299999999999996,1.0,1.0,0.33299999999999996,0.30434782608695654,0.0,0.2765957446808511,0.34
35,36,2017-10-18 10:29:13,2ABC,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,0.0,0.8297872340425532,1.0
36,37,2017-10-18 10:33:42,2ABC,0.0,0.0,0.667,0.33299999999999996,0.0,0.667,0.30434782608695654,0.15384615384615385,0.02127659574468085,0.02
37,38,2017-10-18 10:39:13,2ABC,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.30434782608695654,0.0,0.0851063829787234,0.18
38,39,2017-10-18 10:42:41,2ABC,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.24
39,40,2017-10-18 10:50:47,2ABC,0.0,0.0,0.667,0.0,0.667,0.0,0.17391304347826086,0.6153846153846154,0.0851063829787234,0.02
40,41,2017-10-18 10:53:49,2ABC,0.0,0.0,0.667,0.667,0.33299999999999996,0.0,0.0,0.15384615384615385,0.0,0.0
41,42,2017-10-18 10:57:43,2ABC,0.0,0.0,0.0,0.0,0.667,0.0,0.3913043478260869,0.15384615384615385,0.0,0.0
42,43,2017-10-18 11:13:19,2ABC,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
43,44,2017-10-18 11:36:13,2ABC,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
44,45,2017-10-18 10:46:46,2ABC,0.5,0.0,0.0,0.5,0.0,0.5,0.17391304347826086,0.07692307692307693,0.0,0.1
45,46,2017-10-18 11:13:19,2DE,0.0,0.5,0.5,0.5,0.0,0.0,0.30434782608695654,0.46153846153846156,0.0851063829787234,0.0
46,47,2017-10-18 11:19:28,2DE,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.14893617021276595,0.32
47,48,2017-10-18 11:25:16,2DE,0.0,0.0,1.0,1.0,1.0,0.0,0.30434782608695654,0.0,0.0851063829787234,0.0
48,49,2017-10-18 11:36:13,2DE,0.0,1.0,1.0,1.0,1.0,0.5,0.4782608695652174,0.9230769230769231,0.14893617021276595,0.1
49,50,2017-10-18 11:43:11,2DE,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.04
50,51,2017-10-18 11:49:21,2DE,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1
51,52,2017-10-18 12:09:36,2FGH,0.0,0.667,1.0,0.33299999999999996,1.0,0.33299999999999996,0.043478260869565216,0.07692307692307693,0.0,0.0
52,53,2017-10-18 12:12:27,2FGH,0.0,1.0,1.0,0.667,1.0,0.33299999999999996,0.0,0.0,0.0,0.0
53,54,2017-10-18 12:16:45,2FGH,0.0,0.33299999999999996,1.0,0.667,0.667,0.33299999999999996,0.0,0.15384615384615385,0.0,0.0
54,55,2017-10-18 12:22:50,2FGH,0.0,0.667,1.0,0.667,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,0.0
55,56,2017-10-18 12:32:37,2FGH,0.0,0.667,0.667,0.33299999999999996,0.33299999999999996,0.667,0.2608695652173913,0.0,0.0425531914893617,0.02
56,57,2017-10-18 12:39:45,2FGH,0.0,1.0,1.0,0.33299999999999996,1.0,0.33299999999999996,0.0,0.0,0.0,0.0
57,58,2017-10-18 12:47:50,2FGH,0.0,0.33299999999999996,0.667,0.33299999999999996,0.667,0.667,1.0,0.0,0.1702127659574468,0.02
58,59,2017-10-18 13:02:30,2FGH,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
59,60,2017-10-18 13:09:02,2IJ,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.14
60,61,2017-10-18 13:15:18,2IJ,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.15384615384615385,0.0,0.0
